MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
352,MORRO DO CHAPÉU DO PIAUÍ,PI,1/1/1997,
353,LAGOA DO TOCANTINS,TO,4/1/1993,
354,MURICI DOS PORTELAS,PI,1/1/1997,
355,PIRAQUÊ,TO,1/1/1989,
356,NOSSA SENHORA DE NAZARÉ,PI,1/1/1997,
357,RECURSOLÂNDIA,TO,4/1/1993,
358,NOVO SANTO ANTÔNIO,PI,1/1/1997,
359,RIO DOS BOIS,TO,4/1/1993,
360,OLHO D'ÁGUA DO PIAUÍ,PI,1/1/1997,
361,SANTA MARIA DO TOCANTINS,TO,4/1/1993,
362,PAJEÚ DO PIAUÍ,PI,1/1/1997,
363,SÃO FÉLIX DO TOCANTINS,TO,4/1/1993,
364,PAQUETÁ,PI,1/1/1997,
365,TUPIRATINS,TO,4/1/1993,
366,PAVUSSU,PI,1/1/1997,
367,LAGOA DA CONFUSÃO,TO,4/1/1993,
368,PEDRO LAURENTINO,PI,1/1/1997,
369,SANTA BÁRBARA DO PARÁ,PA,1/1/1980,
370,NOVA SANTA RITA,PI,1/1/1997,
371,SANTA LUZIA DO PARÁ,PA,4/1/1993,
372,PORTO ALEGRE DO PIAUÍ,PI,1/1/1997,
373,TERRA ALTA,PA,1/1/1980,
374,RIACHO FRIO,PI,1/1/1997,
375,ABEL FIGUEIREDO,PA,4/1/1993,
376,RIBEIRA DO PIAUÍ,PI,1/1/1997,
377,ELDORADO DOS CARAJÁS,PA,4/1/1993,
378,SANTO ANTÔNIO DOS MILAGRES,PI,1/1/1997,
379,PALESTINA DO PARÁ,PA,4/1/1993,
380,SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI,1/1/1997,
381,SÃO DOMINGOS DO ARAGUAIA,PA,4/1/1993,
382,SÃO GONÇALO DO GURGUÉIA,PI,1/1/1997,
383,ÁGUA AZUL DO NORTE,PA,4/1/1993,
384,SÃO JOÃO DA FRONTEIRA,PI,1/1/1997,
385,CUMARU DO NORTE,PA,4/1/1993,
386,SÃO JOÃO DA VARJOTA,PI,1/1/1997,
387,PAU D'ARCO,PA,4/1/1993,
388,SÃO JOÃO DO ARRAIAL,PI,1/1/1997,
389,AURORA DO PARÁ,PA,4/1/1993,
390,SÃO LUIS DO PIAUÍ,PI,1/1/1997,
