ibge_code,name,uf,tom_code,created_at,extinguished_at
3528601,Manduri,SP,6673,1980-01-01,
3528700,Marabá Paulista,SP,6675,1980-01-01,
3528809,Maracaí,SP,6677,1980-01-01,
3528908,Mariápolis,SP,6679,1980-01-01,
3529005,Marília,SP,6681,1980-01-01,
3529104,Marinópolis,SP,6683,1980-01-01,
3529203,Martinópolis,SP,6685,1980-01-01,
3529302,Matão,SP,6687,1980-01-01,
3529401,Mauá,SP,6689,1980-01-01,
3529500,Mendonça,SP,6691,1980-01-01,
3529609,Meridiano,SP,6693,1980-01-01,
3529708,Miguelópolis,SP,6695,1980-01-01,
3529807,Mineiros do Tietê,SP,6697,1980-01-01,
3529906,Miracatu,SP,6699,1980-01-01,
3530003,Mira Estrela,SP,6701,1980-01-01,
3530102,Mirandópolis,SP,6703,1980-01-01,
3530201,Mirante do Paranapanema,SP,6705,1980-01-01,
3530300,Mirassol,SP,6707,1980-01-01,
3530409,Mirassolândia,SP,6709,1980-01-01,
3530508,Mococa,SP,6711,1980-01-01,
3530607,Mogi das Cruzes,SP,6713,1980-01-01,
3530706,Mogi Guaçu,SP,6715,1980-01-01,
